Name,Age,M/F,City,State,Country,Official Time,Overall,Gender,Years Ran
"Chaisson, Stan",34,M,Charlottetown,PE,CAN,2:41:15,210,188,2016
"Hannah, Rachel",30,F,Toronto,ON,CAN,2:41:22,211,23,
"Keller, Andrew C",28,M,Wayne,PA,USA,2:41:26,212,189,2015
"Dolney, Daniel",34,M,Chicago,IL,USA,2:41:30,213,190,2015:2016
"Wojciechowski, Sebastian",33,M,Warszawa,,POL,2:41:31,214,191,
"Mcafee, Jack",33,M,Knoxville,TN,USA,2:41:35,215,192,
"Butcher, John",23,M,Mahomet,IL,USA,2:41:37,216,193,2015
"Farmer, Stuart M.",40,M,London,,GBR,2:41:39,217,194,
"Leonard, Matthew",26,M,Higginsville,MO,USA,2:41:41,218,195,
"Bedoya, David",40,M,Somerville,MA,USA,2:41:44,219,196,2016
"Kardous, Pierre",28,M,Marseille,,FRA,2:41:45,220,197,
"Meigs, Tim",50,M,Raleigh,NC,USA,2:41:48,221,198,2015
"Woodford, Patrick",24,M,Roanoke,VA,USA,2:41:48,222,199,
"Cancre, Felix L",22,M,Lexington,MA,USA,2:41:55,223,200,2016
"Leone, Simo",28,M,Skokie,IL,USA,2:41:57,224,201,2016
"Rouse, Matthew",31,M,San Diego,CA,USA,2:41:58,225,202,
"Truesdell, Carson W",21,M,Grand Blanc,MI,USA,2:42:00,226,203,2016
"Aldrich, Micah J",27,M,Indianapolis,IN,USA,2:42:02,227,204,
"Schuler, Eric",23,M,Laurel,MD,USA,2:42:08,228,205,
"Madrigal, Benjamin",30,M,Madera,CA,USA,2:42:13,229,206,2015
"Hall, Matt",44,M,London,,GBR,2:42:15,230,207,2016
"Corno, Hilary",41,F,Encinitas,CA,USA,2:42:16,231,24,
"Ovsyannikov, Sergey",38,M,Perm,,RUS,2:42:17,232,208,
"Seifert, Matthew",30,M,Shawnee,KS,USA,2:42:18,233,209,
"Kivett, Lewis",34,M,Evansville,IN,USA,2:42:22,234,210,
"Sullivan, Harrison",23,M,Washington,DC,USA,2:42:24,235,211,
"Meier, Fabian",32,M,Aarau,,SUI,2:42:25,236,212,
"Lok, Ryan",26,M,Oakland,CA,USA,2:42:27,237,213,
"Beamer, Matthew M",29,M,Chicago,IL,USA,2:42:30,238,214,
"Laskowski, Conrad J",30,M,Gaithersburg,MD,USA,2:42:33,239,215,
"Rosinski, Steve",31,M,Charlottesville,VA,USA,2:42:34,240,216,
"Rasmussen, Erik C",41,M,Wilmington,NC,USA,2:42:35,241,217,
"White, Erick",24,M,Atlanta,GA,USA,2:42:35,242,218,
"Campos Reyes, Jesus A.",32,M,Fresno,CA,USA,2:42:37,243,219,
"Lloyd, James",24,M,San Diego,CA,USA,2:42:38,244,220,2016
"Lohr, Alexander R.",29,M,Portland,OR,USA,2:42:40,245,221,
"Bell, Samuel",40,M,Beavercreek,OH,USA,2:42:42,246,222,2016
"Jackson, James P",27,M,Denver,CO,USA,2:42:43,247,223,
"Reilly, Jason T.",34,M,East Greenwich,RI,USA,2:42:43,248,224,2016
"Wegener, Joel D",43,M,Minneapolis,MN,USA,2:42:45,249,225,2015:2016
"Smith, Shane P.",26,M,Seattle,WA,USA,2:42:47,250,226,
"Bowen, Caleb",23,M,Culloden,WV,USA,2:42:48,251,227,
"Outlaw, Robert A.",39,M,Chattanooga,TN,USA,2:42:48,252,228,
"Legh, Christopher P.",44,M,Lyons,CO,USA,2:42:55,253,229,
"Fitzpatrick, Michael J",39,M,Boston,MA,USA,2:42:56,254,230,2016
"Samarin, Alex",30,M,San Diego,CA,USA,2:42:56,255,231,
"Bain, Christopher",39,M,Cabin John,MD,USA,2:42:56,256,232,2015:2016
"Rose, Jordan",29,M,New York,NY,USA,2:42:58,257,233,2016
"Valentine, Eddie",37,M,Portland,OR,USA,2:42:59,258,234,
"Carreira, Mario P Sr.",49,M,Porto,,POR,2:43:01,259,235,
"Donaghy, Roger",38,M,Melrose,MA,USA,2:43:02,260,236,2015:2016
"Hoover, Aaron",35,M,Golden,CO,USA,2:43:09,261,237,
"Allen, Cale",27,M,Denver,CO,USA,2:43:10,262,238,
"Mccarty, Van IV",46,M,San Luis Obispo,CA,USA,2:43:13,263,239,
"Saviano, Louis L. III",26,M,Sandown,NH,USA,2:43:13,264,240,
"Howell, Jason A",34,M,Newburgh,IN,USA,2:43:14,265,241,2015:2016
"Reisenauer, Matthew",28,M,Seattle,WA,USA,2:43:14,266,242,2015:2016
"McNamara, Brian",34,M,Cambridge,MA,USA,2:43:14,267,243,
"Kurosawa, Kana",25,F,Tokyo,,JPN,2:43:18,268,25,2016
"Rui, Ning",32,M,Gaithersburg,MD,USA,2:43:21,269,244,2015
"Thielman, Michael J",26,M,Manassas,VA,USA,2:43:21,270,245,
"Fraser, Kyle",36,M,West Milwaukee,WI,USA,2:43:21,271,246,2015:2016
"Jackson, Christopher",34,M,Greensboro,NC,USA,2:43:23,272,247,
"Childres, Steven L",25,M,Ellicott City,MD,USA,2:43:29,273,248,
"Paullin, Matthew J.",35,M,Berea,OH,USA,2:43:31,274,249,
"Kaehr, Andrew T.",27,M,Chicago,IL,USA,2:43:34,275,250,2016
"Franken, Christiaan",35,M,Amsterdam,,NED,2:43:35,276,251,
"Dionne, Andrew J",28,M,Syracuse,NY,USA,2:43:35,277,252,
"Haughton, Daniel",27,M,Philadelphia,PA,USA,2:43:38,278,253,2016
"McHaffie, Jake",27,M,Yorba Linda,CA,USA,2:43:41,279,254,
"Waller, Edward",29,M,Newton,MA,USA,2:43:42,280,255,
"Gibson, Audrey L.",24,F,San Francisco,CA,USA,2:43:44,281,26,
"Motta, Ronaldo V. Sr.",37,M,Rio De Janeiro,,BRA,2:43:45,282,256,
"Whitlow, Dustin M",30,M,Arlington,VA,USA,2:43:47,283,257,
"Sprague, Dustin L",42,M,Kettering,OH,USA,2:43:48,284,258,2015
"Roberts, Duncan",41,M,Portland,OR,USA,2:43:50,285,259,2015:2016
"Ritchie, Tom C Jr.",43,M,Anchorage,AK,USA,2:43:51,286,260,
"Bragg, Isaiah L",25,M,Xenia,OH,USA,2:43:52,287,261,
"Robles, Norberto",30,M,Peoria,AZ,USA,2:43:52,288,262,
"Wallace, Jeremy",38,M,Las Vegas,NV,USA,2:43:53,289,263,2016
"Lazo, Reynaldo",35,M,San Jose,,CRC,2:43:54,290,264,
"Hunziker, Eric",47,M,Cincinnati,OH,USA,2:43:54,291,265,2016
"Ames, Tyler",26,M,Columbus,OH,USA,2:43:56,292,266,
"Harmon, Christopher",29,M,Portland,ME,USA,2:43:57,293,267,
"Driver, Ian H",33,M,San Francisco,CA,USA,2:43:58,294,268,
"Hilty, Jonathan B.",34,M,Seattle,WA,USA,2:43:59,295,269,
"Mullikin, Ian",29,M,San Antonio,TX,USA,2:44:00,296,270,
"Puleo, Mark",21,M,Woburn,MA,USA,2:44:02,297,271,
"She, Chunfeng",43,M,Charlotte,NC,USA,2:44:02,298,272,2015:2016
"Lapp, Samuel M",22,M,State College,PA,USA,2:44:03,299,273,
"Smith, Christopher M.",28,M,Denver,CO,USA,2:44:05,300,274,
"McGettigan, Joshua D.",30,M,London,,GBR,2:44:06,301,275,
"Begay, Alvina Y.",36,F,Flagstaff,AZ,USA,2:44:07,302,27,
"Smith, Todd J",42,M,Bristol,VT,USA,2:44:07,303,276,
"Valcke, Tomas L.",41,M,Gent,,BEL,2:44:09,304,277,
"Klucznik, Christopher",34,M,Needham,MA,USA,2:44:11,305,278,
"Rayner, Kenny",26,M,Arlington,VA,USA,2:44:16,306,279,2015
"Lanning, Jerry A",22,M,Fort Collins,CO,USA,2:44:24,307,280,
"Zuniga Ruiz, Esteban",31,M,San Jose,,CRC,2:44:25,308,281,
"Davidson, Terry",45,M,Randolph,NJ,USA,2:44:27,309,282,2015:2016
"Wieker, Luke M",27,M,Stillwater,MN,USA,2:44:30,310,283,
"Rabe, Michael",37,M,Anchorage,AK,USA,2:44:31,311,284,
"Pfander, C Adam",23,M,Brookline,MA,USA,2:44:32,312,285,
"Krebs, Justin",42,M,York,PA,USA,2:44:32,313,286,
"Buckingham, Todd",28,M,East Lansing,MI,USA,2:44:32,314,287,2016
"Thomas, Malcolm",36,M,Boston,MA,USA,2:44:32,315,288,2015
"Ernst, Ekkehard",44,M,Petit Lancy,,SUI,2:44:33,316,289,2015
"Mercier, Christian",42,M,Quebec,QC,CAN,2:44:34,317,290,2015:2016
"Carroll, Matt J.",32,M,Auckland,,NZL,2:44:34,318,291,
"Conklin, Eric M",28,M,Cornelius,NC,USA,2:44:34,319,292,
"Selters, Clark",26,M,Claremont,CA,USA,2:44:34,320,293,
"Nishimura, Akira",41,M,Ann Arbor,MI,USA,2:44:34,321,294,2015:2016
"Girard, Mathieu",37,M,Montréal,QC,CAN,2:44:35,322,295,2015:2016
"Kilbourne, Michael",39,M,Augusta,GA,USA,2:44:39,323,296,
"Tomaszewski, Jeffrey",42,M,Coronado,CA,USA,2:44:39,324,297,
"Calavan, Brian",32,M,San Francisco,CA,USA,2:44:44,325,298,
"Pommier, Jean",53,M,Cupertino,CA,USA,2:44:50,326,299,
"Fernandez, Douglas",56,M,Richmond,VA,USA,2:44:52,327,300,
"Ozahowski, Matt",31,M,Thetford,VT,USA,2:44:52,328,301,2015
"Montoya, Alvaro Sr.",36,M,Chicago,IL,USA,2:44:53,329,302,2015
"Lopez Borboy, Alfredo",34,M,Lima,,PER,2:44:55,330,303,
"Goris, Fred P",29,M,New York,NY,USA,2:44:56,331,304,2016
"Jordan, Zack",23,M,Ball Ground,GA,USA,2:45:00,332,305,2016
"Krall, David",36,M,Madison,WI,USA,2:45:00,333,306,2016
"Costello, Daniel A.",21,M,Hayle,,GBR,2:45:03,334,307,
"Harder, Tim",31,M,Somerville,MA,USA,2:45:05,335,308,2015:2016
"Cueto, Rafael",52,M,Santo Domingo,,DOM,2:45:10,336,309,
"Plennevaux, Eric",42,M,Marcy L'Etoile,,FRA,2:45:11,337,310,
"Talhelm, Alan F.",35,M,Durham,NC,USA,2:45:12,338,311,
"Hunter, Dale",37,M,Seattle,WA,USA,2:45:14,339,312,2015
"Schwartzbard, Aaron",39,M,Washington,DC,USA,2:45:16,340,313,2015:2016
"Widtfeldt, Daniel",29,M,Dallas,TX,USA,2:45:21,341,314,2015
"De Samaniego Steta, Fernando",32,M,San Francisco,CA,USA,2:45:22,342,315,
"Reynolds, Bryn P.",29,M,London,,GBR,2:45:22,343,316,
"Calzetta, Christopher",35,M,Monterey,CA,USA,2:45:22,344,317,
"Takano, Walter Sr.",47,M,Lima,,PER,2:45:22,345,318,2016
"Scoville, Morgan B.",34,M,Houston,TX,USA,2:45:24,346,319,2015:2016
"Mendoza, Eric",32,M,Dorchester,MA,USA,2:45:24,347,320,2015
"Blackwell, Ian A",30,M,Arlington,VA,USA,2:45:25,348,321,
"Kardous, Pascal",30,M,Paris,,FRA,2:45:27,349,322,
"Bell, Patrick",47,M,Richmond,VA,USA,2:45:27,350,323,2015:2016
"Parton, Nicholas",31,M,Colorado Springs,CO,USA,2:45:31,351,324,
"Preslar, Matt L",44,M,Cloudcroft,NM,USA,2:45:33,352,325,
"Krieche, Issam",47,M,Mansfield,MA,USA,2:45:34,353,326,2015:2016
"Vanderven, Ian",26,M,Skaneateles,NY,USA,2:45:35,354,327,
"Atkins, Benjamin",43,M,Westlake Village,CA,USA,2:45:35,355,328,
"Theard, Jean-Baptiste",35,M,London,,GBR,2:45:35,356,329,2015
